entity_id,id,name,label,entity_type,type,aliases,description,doc_ids,chunk_ids,community_id,community,evidence_count,relation_count,review_status,score
EQ_DOC_001,EQ_DOC_001,原始来源核验机制,原始来源核验机制,Document,Document,EQ_DOC_001,地震专题语料文档：原始来源核验,EQ_DOC_001,,C07,C07,3,3,待复核,4.39
EQ_DOC_002,EQ_DOC_002,全球典型地震事件参数,全球典型地震事件参数,Document,Document,EQ_DOC_002,地震专题语料文档：地震事件参数核验,EQ_DOC_002,,C07,C07,12,12,待复核,12.56
EQ_DOC_003,EQ_DOC_003,ShakeMap与PAGER影响评估,ShakeMap与PAGER影响评估,Document,Document,EQ_DOC_003,地震专题语料文档：影响评估数据链,EQ_DOC_003,,C07,C07,21,21,待复核,13.09
EQ_DOC_004,EQ_DOC_004,灾后应急响应与人道需求,灾后应急响应与人道需求,Document,Document,EQ_DOC_004,地震专题语料文档：灾后应急响应,EQ_DOC_004,,C07,C07,9,9,待复核,11.3
EQ_DOC_005,EQ_DOC_005,遥感影像与建筑震损标签,遥感影像与建筑震损标签,Document,Document,EQ_DOC_005,地震专题语料文档：遥感震损识别,EQ_DOC_005,,C07,C07,6,6,待复核,7.95
EQ_DOC_006,EQ_DOC_006,暴露体与生命线韧性,暴露体与生命线韧性,Document,Document,EQ_DOC_006,地震专题语料文档：暴露体与生命线韧性,EQ_DOC_006,,C07,C07,4,4,待复核,5.61
EQ_DOC_007,EQ_DOC_007,分布式AI地震预警,分布式AI地震预警,Document,Document,EQ_DOC_007,地震专题语料文档：分布式AI地震预警,EQ_DOC_007,,C07,C07,19,19,待复核,13.0
EQ_DOC_008,EQ_DOC_008,工程损失评估系统,工程损失评估系统,Document,Document,EQ_DOC_008,地震专题语料文档：工程损失评估,EQ_DOC_008,,C07,C07,11,11,待复核,12.48
EQ_DOC_009,EQ_DOC_009,应急治理政策标准,应急治理政策标准,Document,Document,EQ_DOC_009,地震专题语料文档：应急治理政策标准,EQ_DOC_009,,C07,C07,9,9,待复核,11.3
EQ_DOC_010,EQ_DOC_010,本体与复核机制,本体与复核机制,Document,Document,EQ_DOC_010,地震专题语料文档：本体与复核机制,EQ_DOC_010,,C07,C07,13,13,待复核,12.64
hazard_eq_001,hazard_eq_001,地震,地震,DisasterType,DisasterType,地震灾害；震灾；Earthquake,本项目聚焦的主要灾害类型。,EQ_DOC_001；EQ_DOC_002；EQ_DOC_003；EQ_DOC_004；EQ_DOC_005；EQ_DOC_006；EQ_DOC_007；EQ_DOC_008；EQ_DOC_009；EQ_DOC_010,CHK_EQ_000001；CHK_EQ_000004；CHK_EQ_000005；CHK_EQ_000006；CHK_EQ_000007；CHK_EQ_000008；CHK_EQ_000009；CHK_EQ_000010；CHK_EQ_000011；CHK_EQ_000013；CHK_EQ_000014；CHK_EQ_000016；CHK_EQ_000017；CHK_EQ_000019；CHK_EQ_000020；CHK_EQ_000021；CHK_EQ_000022；CHK_EQ_000023；CHK_EQ_000024；CHK_EQ_000025,C00,C00,24,6,待复核,10.0
stage_eq_001,stage_eq_001,震前监测,震前监测,Scenario,Scenario,,Scenario：震前监测,,,C02,C02,0,0,待复核,0.0
stage_eq_002,stage_eq_002,震时预警,震时预警,Scenario,Scenario,,Scenario：震时预警,,,C02,C02,0,0,待复核,0.0
stage_eq_003,stage_eq_003,震后评估,震后评估,Scenario,Scenario,,Scenario：震后评估,,,C02,C02,0,0,待复核,0.0
stage_eq_004,stage_eq_004,应急响应,应急响应,Scenario,Scenario,,Scenario：应急响应,EQ_DOC_001；EQ_DOC_004；EQ_DOC_009,CHK_EQ_000001；CHK_EQ_000010；CHK_EQ_000025；CHK_EQ_000026；CHK_EQ_000027,C02,C02,6,6,待复核,5.0
stage_eq_005,stage_eq_005,恢复重建,恢复重建,Scenario,Scenario,,Scenario：恢复重建,EQ_DOC_001；EQ_DOC_004,CHK_EQ_000001；CHK_EQ_000011,C02,C02,4,4,待复核,2.0
stage_eq_006,stage_eq_006,灾后复盘,灾后复盘,Scenario,Scenario,,Scenario：灾后复盘,EQ_DOC_004,CHK_EQ_000010,C02,C02,2,2,待复核,1.0
stage_eq_007,stage_eq_007,政策治理,政策治理,Scenario,Scenario,,Scenario：政策治理,,,C02,C02,0,0,待复核,0.0
stage_eq_008,stage_eq_008,城市韧性评估,城市韧性评估,Scenario,Scenario,,Scenario：城市韧性评估,,,C02,C02,0,0,待复核,0.0
tech_eq_001,tech_eq_001,地震早期预警,地震早期预警,AITech,AITech,地震早期预警；地震早期预警,AITech：地震早期预警,EQ_DOC_007,CHK_EQ_000019,C01,C01,1,1,待复核,1.0
tech_eq_002,tech_eq_002,震后建筑损毁识别,震后建筑损毁识别,AITech,AITech,震后建筑损毁识别；震后建筑损毁识别,AITech：震后建筑损毁识别,,,C01,C01,0,0,待复核,0.0
tech_eq_003,tech_eq_003,遥感震损智能解译,遥感震损智能解译,AITech,AITech,遥感震损智能解译；遥感震损智能解译,AITech：遥感震损智能解译,,,C01,C01,0,0,待复核,0.0
tech_eq_004,tech_eq_004,地震风险时空预测,地震风险时空预测,AITech,AITech,地震风险时空预测；地震风险时空预测,AITech：地震风险时空预测,,,C01,C01,0,0,待复核,0.0
tech_eq_005,tech_eq_005,震后灾情快速评估,震后灾情快速评估,AITech,AITech,震后灾情快速评估；震后灾情快速评估,AITech：震后灾情快速评估,,,C01,C01,0,0,待复核,0.0
tech_eq_006,tech_eq_006,地震应急辅助决策,地震应急辅助决策,AITech,AITech,地震应急辅助决策；地震应急辅助决策,AITech：地震应急辅助决策,,,C01,C01,0,0,待复核,0.0
tech_eq_007,tech_eq_007,生命线震损风险传播GNN,生命线震损风险传播GNN,AITech,AITech,生命线震损风险传播 GNN；生命线震损风险传播GNN,AITech：生命线震损风险传播GNN,,,C01,C01,0,0,待复核,0.0
tech_eq_008,tech_eq_008,震后救援调度优化,震后救援调度优化,AITech,AITech,震后救援调度优化；震后救援调度优化,AITech：震后救援调度优化,,,C01,C01,0,0,待复核,0.0
tech_eq_009,tech_eq_009,地震证据图谱GraphRAG,地震证据图谱GraphRAG,AITech,AITech,地震证据图谱GraphRAG；地震证据图谱 GraphRAG,AITech：地震证据图谱GraphRAG,,,C01,C01,0,0,待复核,0.0
tech_eq_010,tech_eq_010,数字孪生城市地震风险模拟,数字孪生城市地震风险模拟,AITech,AITech,数字孪生城市地震风险模拟；数字孪生城市地震风险模拟,AITech：数字孪生城市地震风险模拟,,,C01,C01,0,0,待复核,0.0
tech_eq_011,tech_eq_011,分布式AI地震预警,分布式AI地震预警,AITech,AITech,分布式AI地震预警；分布式AI地震预警,AITech：分布式AI地震预警,EQ_DOC_007,CHK_EQ_000019,C01,C01,1,1,待复核,1.0
model_eq_001,model_eq_001,CNN,CNN,Model,Model,Convolutional Neural Network；卷积神经网络,Model：CNN,EQ_DOC_007,CHK_EQ_000020,C01,C01,1,1,待复核,1.0
model_eq_002,model_eq_002,GNN,GNN,Model,Model,Graph Neural Network；图神经网络,Model：GNN,EQ_DOC_010,CHK_EQ_000029,C01,C01,1,1,待复核,1.0
model_eq_003,model_eq_003,LSTM,LSTM,Model,Model,Long Short-Term Memory,Model：LSTM,,,C01,C01,0,0,待复核,0.0
model_eq_004,model_eq_004,RNN,RNN,Model,Model,Recurrent Neural Network,Model：RNN,EQ_DOC_007,CHK_EQ_000020,C01,C01,1,1,待复核,1.0
model_eq_005,model_eq_005,Transformer,Transformer,Model,Model,ViT；Swin Transformer,Model：Transformer,EQ_DOC_007；EQ_DOC_010,CHK_EQ_000020；CHK_EQ_000029,C01,C01,2,2,待复核,2.0
model_eq_006,model_eq_006,U-Net,U-Net,Model,Model,UNet,Model：U-Net,,,C01,C01,0,0,待复核,0.0
model_eq_007,model_eq_007,随机森林,随机森林,Model,Model,Random Forest,Model：随机森林,EQ_DOC_007,CHK_EQ_000020,C01,C01,1,1,待复核,1.0
model_eq_008,model_eq_008,XGBoost,XGBoost,Model,Model,Gradient Boosting,Model：XGBoost,,,C01,C01,0,0,待复核,0.0
model_eq_009,model_eq_009,能力谱法,能力谱法,Model,Model,Capacity Spectrum Method,Model：能力谱法,EQ_DOC_008,CHK_EQ_000022；CHK_EQ_000023,C01,C01,2,2,待复核,2.0
model_eq_010,model_eq_010,Hazus,Hazus,Model,Model,HAZUS,Model：Hazus,EQ_DOC_008,CHK_EQ_000022；CHK_EQ_000023；CHK_EQ_000024,C01,C01,5,5,待复核,11.0
model_eq_011,model_eq_011,OpenQuake,OpenQuake,Model,Model,OpenQuake Engine,Model：OpenQuake,EQ_DOC_008,CHK_EQ_000023；CHK_EQ_000024,C01,C01,13,13,待复核,10.0
model_eq_012,model_eq_012,Edge-AI CNN,Edge-AI CNN,Model,Model,Edge-AI compact CNN；compact CNN,Model：Edge-AI CNN,,,C01,C01,0,0,待复核,8.0
