timestamp,rainfall_raw_mm,flag,rainfall_fixed_mm
2024-06-01 06:10:00,0.1,spurious,0.0
2024-06-01 14:30:00,0.1,spurious,0.0
2024-06-01 19:00:00,0.1,spurious,0.0
2024-06-02 03:10:00,64.7,spike,0.0
2024-06-02 16:20:00,185.7,spike,0.0
2024-06-02 23:00:00,-3.4,negative,0.0
2024-06-03 00:00:00,,missing,0.0
2024-06-03 03:10:00,,missing,0.0
2024-06-03 04:50:00,,missing,0.0
2024-06-03 06:20:00,,missing,0.0
2024-06-03 09:40:00,295.0,spike,0.0
2024-06-03 18:20:00,,missing,0.0
2024-06-03 19:40:00,,missing,0.0
2024-06-04 16:20:00,,missing,0.0
2024-06-04 18:20:00,,missing,0.0
2024-06-04 18:30:00,,missing,0.0
2024-06-04 23:10:00,,missing,0.0
2024-06-05 03:00:00,0.1,spurious,0.0
2024-06-05 03:10:00,,missing,0.0
2024-06-05 07:50:00,-3.0,negative,0.0
2024-06-05 08:10:00,,missing,0.0
2024-06-05 09:10:00,,missing,0.0
2024-06-05 10:20:00,-0.3,negative,0.0
2024-06-05 19:00:00,1.7,stuck,0.0
2024-06-05 19:10:00,1.7,stuck,0.0
2024-06-05 19:20:00,1.7,stuck,0.0
2024-06-05 19:30:00,1.7,stuck,0.0
2024-06-05 19:40:00,1.7,stuck,0.0
2024-06-05 19:50:00,1.7,stuck,0.0
2024-06-05 20:00:00,1.7,stuck,0.0
2024-06-05 20:10:00,1.7,stuck,0.0
2024-06-05 20:20:00,1.7,stuck,0.0
2024-06-05 21:10:00,,missing,0.0
2024-06-05 21:40:00,81.2,spike,0.0
2024-06-06 02:20:00,,missing,0.0
2024-06-06 03:10:00,,missing,0.0
2024-06-06 05:00:00,,missing,0.0
2024-06-06 12:40:00,-1.5,negative,0.0
2024-06-06 14:50:00,,missing,0.0
2024-06-06 20:30:00,-0.7,negative,0.0
2024-06-07 03:20:00,-3.5,negative,0.0
2024-06-07 03:30:00,,missing,0.0
2024-06-07 06:10:00,,missing,0.0
2024-06-07 07:50:00,0.2,spurious,0.0
2024-06-07 12:30:00,0.1,spurious,0.0
2024-06-07 19:30:00,0.3,spurious,0.0
2024-06-07 19:40:00,,missing,0.0
2024-06-07 20:50:00,0.3,spurious,0.0
2024-06-08 00:40:00,66.8,spike,0.0
2024-06-08 01:40:00,0.1,spurious,0.0
2024-06-08 06:30:00,,missing,0.0
2024-06-08 08:00:00,,missing,0.0
2024-06-08 17:40:00,194.8,spike,0.0
2024-06-08 17:50:00,,missing,0.0
2024-06-08 21:30:00,-1.0,negative,0.0
2024-06-09 01:00:00,,missing,0.0
2024-06-09 05:30:00,-3.9,negative,0.0
2024-06-09 06:10:00,0.3,spurious,0.0
2024-06-09 08:10:00,,missing,0.0
2024-06-09 08:40:00,0.1,spurious,0.0
2024-06-09 12:20:00,0.1,spurious,0.0
2024-06-09 12:30:00,,missing,0.0
2024-06-09 18:30:00,178.5,spike,0.2
2024-06-09 21:00:00,-3.6,negative,0.0
2024-06-10 04:20:00,,missing,0.0
2024-06-10 07:20:00,-3.0,negative,3.8
2024-06-10 07:40:00,,missing,7.1
2024-06-10 09:50:00,,missing,7.3
2024-06-10 10:00:00,,missing,6.8
2024-06-10 14:10:00,,missing,0.8
2024-06-10 16:50:00,,missing,0.0
2024-06-10 17:00:00,,missing,0.0
2024-06-10 17:10:00,,missing,0.0
2024-06-10 17:20:00,,missing,0.0
2024-06-10 17:30:00,,missing,0.0
2024-06-10 17:40:00,,missing,0.0
2024-06-10 17:50:00,,missing,0.0
2024-06-10 18:00:00,,missing,0.0
2024-06-10 18:10:00,,missing,0.0
2024-06-10 18:20:00,,missing,0.0
2024-06-10 18:30:00,,missing,0.0
2024-06-10 18:40:00,,missing,0.0
2024-06-10 18:50:00,,missing,0.0
2024-06-10 19:00:00,,missing,0.0
2024-06-10 19:10:00,,missing,0.0
2024-06-10 19:20:00,,missing,0.0
2024-06-10 20:30:00,,missing,0.0
2024-06-11 01:10:00,130.2,spike,0.0
2024-06-11 01:30:00,,missing,0.0
2024-06-11 03:50:00,,missing,0.0
2024-06-11 06:10:00,205.8,spike,0.0
2024-06-11 08:40:00,,missing,0.0
2024-06-11 11:10:00,0.2,spurious,0.0
2024-06-11 11:30:00,,missing,0.0
2024-06-12 01:40:00,-4.3,negative,0.0
2024-06-12 14:20:00,69.3,spike,0.0
2024-06-12 16:40:00,,missing,0.0
2024-06-12 17:10:00,,missing,0.0
2024-06-12 19:30:00,,missing,0.0
2024-06-12 20:40:00,0.2,spurious,0.0
2024-06-12 23:30:00,999.0,spike,0.0
2024-06-13 01:20:00,0.1,spurious,0.0
2024-06-13 06:10:00,,missing,0.0
2024-06-13 07:00:00,,missing,0.0
2024-06-13 08:30:00,,missing,0.0
2024-06-13 13:10:00,,missing,0.0
2024-06-13 17:30:00,,missing,0.0
2024-06-13 18:30:00,,missing,0.0
2024-06-13 19:10:00,,missing,0.0
2024-06-13 19:20:00,,missing,0.0
2024-06-13 20:50:00,,missing,0.0
2024-06-13 23:20:00,298.6,spike,0.0
2024-06-13 23:30:00,,missing,0.0
2024-06-14 02:40:00,0.2,spurious,0.0
2024-06-14 03:20:00,,missing,0.0
2024-06-14 04:40:00,,missing,0.0
2024-06-14 08:40:00,999.0,spike,0.0
2024-06-14 12:30:00,,missing,0.0
2024-06-14 13:10:00,,missing,0.0
2024-06-14 14:50:00,,missing,0.0
2024-06-14 16:40:00,-1.9,negative,0.0
2024-06-14 21:00:00,,missing,0.0
2024-06-14 22:10:00,,missing,0.0
2024-06-14 22:30:00,,missing,0.0
2024-06-15 01:50:00,,missing,0.0
2024-06-15 02:20:00,,missing,0.0
2024-06-15 04:20:00,,missing,0.0
2024-06-15 10:50:00,0.2,spurious,0.0
2024-06-15 11:30:00,,missing,0.0
2024-06-16 00:50:00,0.2,spurious,0.0
2024-06-16 02:20:00,,missing,0.0
2024-06-16 07:00:00,,missing,0.0
2024-06-16 10:30:00,,missing,0.0
2024-06-16 12:20:00,,missing,0.0
2024-06-16 13:00:00,0.2,spurious,0.0
2024-06-16 15:40:00,-5.0,negative,0.0
2024-06-16 17:50:00,0.1,spurious,0.0
2024-06-16 23:40:00,-3.4,negative,0.0
2024-06-17 03:00:00,231.9,spike,0.0
2024-06-17 08:40:00,,missing,0.0
2024-06-17 11:50:00,999.0,spike,0.0
2024-06-17 14:10:00,,missing,0.0
2024-06-17 16:00:00,0.2,spurious,0.0
2024-06-17 17:30:00,,missing,0.0
2024-06-18 04:10:00,0.2,spurious,0.0
2024-06-18 05:10:00,0.3,spurious,0.0
2024-06-18 11:50:00,,missing,0.0
2024-06-19 08:40:00,,missing,0.0
2024-06-20 02:10:00,,missing,0.0
2024-06-20 05:10:00,999.0,spike,0.0
2024-06-20 06:30:00,,missing,0.0
2024-06-20 07:00:00,,missing,0.0
2024-06-20 08:30:00,,missing,0.0
2024-06-20 11:20:00,2.4,stuck,0.0
2024-06-20 11:30:00,2.4,stuck,0.0
2024-06-20 11:40:00,2.4,stuck,0.0
2024-06-20 11:50:00,2.4,stuck,0.0
2024-06-20 12:00:00,2.4,stuck,0.0
2024-06-20 12:10:00,2.4,stuck,0.0
2024-06-20 12:20:00,2.4,stuck,0.0
2024-06-20 12:30:00,2.4,stuck,0.0
2024-06-20 12:40:00,2.4,stuck,0.0
2024-06-20 12:50:00,2.4,stuck,0.0
2024-06-20 14:10:00,,missing,0.0
2024-06-20 22:50:00,999.0,spike,2.9
2024-06-20 23:10:00,,missing,3.0
2024-06-21 06:10:00,,missing,0.0
2024-06-21 08:50:00,0.1,spurious,0.0
2024-06-21 09:20:00,,missing,0.0
2024-06-21 16:40:00,,missing,0.0
2024-06-21 21:30:00,,missing,0.0
2024-06-22 04:30:00,0.2,spurious,0.0
2024-06-22 10:00:00,2.9,stuck,0.0
2024-06-22 10:10:00,2.9,stuck,0.0
2024-06-22 10:20:00,2.9,stuck,0.0
2024-06-22 10:30:00,2.9,stuck,0.0
2024-06-22 10:40:00,2.9,stuck,0.0
2024-06-22 10:50:00,2.9,stuck,0.0
2024-06-22 11:00:00,2.9,stuck,0.0
2024-06-22 11:10:00,2.9,stuck,0.0
2024-06-22 11:20:00,2.9,stuck,0.0
2024-06-22 11:30:00,2.9,stuck,0.0
2024-06-22 11:40:00,2.9,stuck,0.0
2024-06-22 11:50:00,2.9,stuck,0.0
2024-06-22 12:00:00,2.9,stuck,0.0
2024-06-22 14:10:00,,missing,0.0
2024-06-22 17:50:00,,missing,5.2
2024-06-22 21:50:00,-3.6,negative,0.0
2024-06-23 00:50:00,,missing,0.0
2024-06-23 06:00:00,,missing,0.0
2024-06-23 06:40:00,-2.5,negative,0.0
2024-06-23 08:20:00,-4.2,negative,0.0
2024-06-23 11:10:00,,missing,0.0
2024-06-23 13:20:00,,missing,0.0
2024-06-23 15:40:00,,missing,0.0
2024-06-23 21:00:00,,missing,0.0
2024-06-23 23:10:00,,missing,0.0
2024-06-24 03:20:00,,missing,0.0
2024-06-24 04:30:00,,missing,0.0
2024-06-24 05:20:00,,missing,0.0
2024-06-24 07:20:00,,missing,0.0
2024-06-24 14:40:00,,missing,0.0
2024-06-24 22:40:00,0.3,spurious,0.0
2024-06-24 23:40:00,,missing,0.0
2024-06-25 00:00:00,,missing,0.0
2024-06-25 08:20:00,0.2,spurious,0.0
2024-06-25 12:20:00,269.4,spike,0.0
2024-06-25 17:20:00,-2.4,negative,0.0
2024-06-25 19:50:00,89.2,spike,0.0
2024-06-25 20:10:00,,missing,0.0
2024-06-26 02:00:00,,missing,0.0
2024-06-26 02:20:00,,missing,0.0
2024-06-26 05:30:00,0.2,spurious,0.0
2024-06-26 06:40:00,,missing,0.0
2024-06-26 10:00:00,,missing,0.0
2024-06-26 11:30:00,0.2,spurious,0.0
2024-06-26 14:10:00,0.3,spurious,0.0
2024-06-26 15:00:00,,missing,0.0
2024-06-26 16:20:00,,missing,0.0
2024-06-26 19:40:00,0.1,spurious,0.0
2024-06-26 21:10:00,,missing,0.0
2024-06-26 22:30:00,0.1,spurious,0.0
2024-06-26 23:30:00,,missing,0.0
2024-06-27 03:00:00,,missing,0.0
2024-06-27 06:00:00,-4.8,negative,0.0
2024-06-27 08:50:00,,missing,0.0
2024-06-27 09:20:00,,missing,0.0
2024-06-27 12:40:00,,missing,0.0
2024-06-27 13:50:00,,missing,0.0
2024-06-27 17:20:00,,missing,0.0
2024-06-27 17:30:00,,missing,0.0
2024-06-27 17:40:00,,missing,0.0
2024-06-27 17:50:00,,missing,0.0
2024-06-27 18:00:00,,missing,0.0
