resource_id,resource_name,resource_type,longitude,latitude,source,is_simulated
1,Simulated Fire/EMS Station 01,fire_ems,-118.32478049417644,33.56735134225072,SIMULATED_FALLBACK,1
2,Simulated Fire/EMS Station 02,fire_ems,-118.56267230151033,33.033935683689,SIMULATED_FALLBACK,1
3,Simulated Fire/EMS Station 03,fire_ems,-118.27964973841324,33.03096855349044,SIMULATED_FALLBACK,1
4,Simulated Fire/EMS Station 04,fire_ems,-117.89199428659424,33.222263222732366,SIMULATED_FALLBACK,1
5,Simulated Fire/EMS Station 05,fire_ems,-118.0748454578961,33.511074940826305,SIMULATED_FALLBACK,1
6,Simulated Fire/EMS Station 06,fire_ems,-118.3462448448872,34.737920102840576,SIMULATED_FALLBACK,1
7,Simulated Fire/EMS Station 07,fire_ems,-118.26503822120732,33.03006775257544,SIMULATED_FALLBACK,1
8,Simulated Fire/EMS Station 08,fire_ems,-117.80597845420951,34.33645170381146,SIMULATED_FALLBACK,1
9,Simulated Fire/EMS Station 09,fire_ems,-118.13790665538185,33.0366008746773,SIMULATED_FALLBACK,1
10,Simulated Fire/EMS Station 10,fire_ems,-117.99663974667783,34.393968116454985,SIMULATED_FALLBACK,1
11,Simulated Fire/EMS Station 11,fire_ems,-118.3685362052266,33.72904822951363,SIMULATED_FALLBACK,1
12,Simulated Fire/EMS Station 12,fire_ems,-118.85624959364176,34.48810262109645,SIMULATED_FALLBACK,1
13,Simulated Fire/EMS Station 13,fire_ems,-118.44119158179461,33.28933417810289,SIMULATED_FALLBACK,1
14,Simulated Fire/EMS Station 14,fire_ems,-118.84249995549487,33.08263674728187,SIMULATED_FALLBACK,1
15,Simulated Fire/EMS Station 15,fire_ems,-118.64680464285546,33.09888418239871,SIMULATED_FALLBACK,1
16,Simulated Fire/EMS Station 16,fire_ems,-118.41367470546595,34.80126935836116,SIMULATED_FALLBACK,1
17,Simulated Fire/EMS Station 17,fire_ems,-118.20110706273462,32.955141958056934,SIMULATED_FALLBACK,1
18,Simulated Fire/EMS Station 18,fire_ems,-117.72622721782969,34.44214468646833,SIMULATED_FALLBACK,1
19,Simulated Fire/EMS Station 19,fire_ems,-118.30908358367645,33.9757296412582,SIMULATED_FALLBACK,1
20,Simulated Fire/EMS Station 20,fire_ems,-117.69388957254036,33.681698239405115,SIMULATED_FALLBACK,1
21,Simulated Fire/EMS Station 21,fire_ems,-118.40969344107116,33.74462797098153,SIMULATED_FALLBACK,1
22,Simulated Fire/EMS Station 22,fire_ems,-118.88676134989109,33.10474904204694,SIMULATED_FALLBACK,1
23,Simulated Fire/EMS Station 23,fire_ems,-118.75649146119932,34.2502037896826,SIMULATED_FALLBACK,1
24,Simulated Fire/EMS Station 24,fire_ems,-118.54274658772924,34.72745672800294,SIMULATED_FALLBACK,1
25,Simulated Fire/EMS Station 25,fire_ems,-118.29512804674343,33.76018073346342,SIMULATED_FALLBACK,1
26,Simulated Fire/EMS Station 26,fire_ems,-117.94026062016742,33.14894180380108,SIMULATED_FALLBACK,1
27,Simulated Fire/EMS Station 27,fire_ems,-117.69771828878437,33.41822254186419,SIMULATED_FALLBACK,1
28,Simulated Fire/EMS Station 28,fire_ems,-118.54799663832702,33.366985076010515,SIMULATED_FALLBACK,1
29,Simulated Fire/EMS Station 29,fire_ems,-118.24992081747898,33.318937456500706,SIMULATED_FALLBACK,1
30,Simulated Fire/EMS Station 30,fire_ems,-117.73627570590845,34.15795037453739,SIMULATED_FALLBACK,1
31,Simulated Fire/EMS Station 31,fire_ems,-117.67560029198269,33.40415313377248,SIMULATED_FALLBACK,1
32,Simulated Fire/EMS Station 32,fire_ems,-117.9179235384644,34.701172377604394,SIMULATED_FALLBACK,1
33,Simulated Fire/EMS Station 33,fire_ems,-117.82555718807103,33.34298757768714,SIMULATED_FALLBACK,1
34,Simulated Fire/EMS Station 34,fire_ems,-118.23593328388813,34.14322827311963,SIMULATED_FALLBACK,1
35,Simulated Fire/EMS Station 35,fire_ems,-118.1893618118693,33.34074391548121,SIMULATED_FALLBACK,1
