address,latitude,longitude,name,note,osm_id,source,source_url,type
,30.6851715,104.1128769,八里医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/1949246070,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.68693,104.1177329,东区医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/1956621325,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.6754365,104.0747145,丽婴房,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/1958204071,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.6701337,104.0957683,成都成华戈韦尔医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/1964383754,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.6647509,104.1185719,成都市华川医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/1964586853,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.4894871,103.9917581,公兴社区卫生服务中心,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/2615891835,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.658885,104.1127172,成都中德肾病医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/2651673336,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.6104738,104.0779287,安琪儿妇产医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/2716031253,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.687598,104.0737417,五冶医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/2817623839,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.5225553,104.0532668,贝康宠物医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/3673105396,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.6536849,104.1010371,新华医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/4201795165,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
岷江路1666号1666号,30.63444,104.1210049,四川微医互联网医院,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/4601641604,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
成都市府城大道516,30.5915278,104.0513544,成都市急救指挥中心(120),真实地图点位；人员与车辆数量未公开，项目中置为0。,node/4661854188,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
,30.5900136,104.0524212,拉斐尔口腔,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/4702508991,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
成都市花牌坊街85号,30.679376,104.0480503,人民北路社区卫生服务中心,真实地图点位；人员与车辆数量未公开，项目中置为0。,node/4724343820,OpenStreetMap Overpass API,https://www.openstreetmap.org/copyright,医疗
