timestamp,rule_anomaly_label,rule_anomaly_type,if_anomaly_score,if_anomaly_label,lstm_reconstruction_error,lstm_anomaly_label,hybrid_anomaly_label,hybrid_anomaly_type,hybrid_confidence,final_decision,anomaly_source
2024-06-01 00:00:00,0,,-0.1717123427699851,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 00:10:00,0,,-0.14262396893740964,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 00:20:00,0,,-0.15669240655795819,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 00:30:00,0,,-0.13346346240528423,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 00:40:00,0,,-0.16504751365122888,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 00:50:00,0,,-0.16267028704991304,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 01:00:00,0,,-0.1684599565061916,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 01:10:00,0,,-0.14647461570416737,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 01:20:00,0,,-0.1481429399624269,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 01:30:00,0,,-0.16528620705192615,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 01:40:00,0,,-0.16016470868344013,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 01:50:00,0,,-0.1578938993112125,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 02:00:00,0,,-0.16429993501550305,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 02:10:00,0,,-0.1309166095608194,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 02:20:00,0,,-0.14801255519224926,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 02:30:00,0,,-0.16058025217233685,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 02:40:00,0,,-0.13687844157934087,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 02:50:00,0,,-0.16417856069001163,0,0.20013363659381866,0,0,normal,0.98,keep,none
2024-06-01 03:00:00,0,,-0.1636509078488193,0,0.20585006475448608,0,0,normal,0.98,keep,none
2024-06-01 03:10:00,0,,-0.16939331261865576,0,0.19224953651428223,0,0,normal,0.98,keep,none
2024-06-01 03:20:00,0,,-0.16944622943381477,0,0.19002781808376312,0,0,normal,0.98,keep,none
2024-06-01 03:30:00,0,,-0.16610462101108953,0,0.175298273563385,0,0,normal,0.98,keep,none
2024-06-01 03:40:00,0,,-0.14426183902608197,0,0.18523600697517395,0,0,normal,0.98,keep,none
2024-06-01 03:50:00,0,,-0.16282119099455028,0,0.19017598032951355,0,0,normal,0.98,keep,none
2024-06-01 04:00:00,0,,-0.1684736563188996,0,0.19473318755626678,0,0,normal,0.98,keep,none
2024-06-01 04:10:00,0,,-0.16701418696818449,0,0.18754957616329193,0,0,normal,0.98,keep,none
2024-06-01 04:20:00,0,,-0.17309873650246416,0,0.18262414634227753,0,0,normal,0.98,keep,none
2024-06-01 04:30:00,0,,-0.1708644130157097,0,0.18660813570022583,0,0,normal,0.98,keep,none
