timestamp,rule_anomaly_label,rule_anomaly_type,if_anomaly_score,if_anomaly_label,lstm_reconstruction_error,lstm_anomaly_label,hybrid_anomaly_label,hybrid_anomaly_type,hybrid_confidence,final_decision,anomaly_source
2024-06-01 00:00:00,0,,-0.1717123427699851,0,,0,0,normal,0.98,keep,none
2024-06-01 00:10:00,0,,-0.14262396893740964,0,,0,0,normal,0.98,keep,none
2024-06-01 00:20:00,0,,-0.15669240655795819,0,,0,0,normal,0.98,keep,none
2024-06-01 00:30:00,0,,-0.13346346240528423,0,,0,0,normal,0.98,keep,none
2024-06-01 00:40:00,0,,-0.16504751365122888,0,,0,0,normal,0.98,keep,none
2024-06-01 00:50:00,0,,-0.16267028704991304,0,,0,0,normal,0.98,keep,none
2024-06-01 01:00:00,0,,-0.1684599565061916,0,,0,0,normal,0.98,keep,none
2024-06-01 01:10:00,0,,-0.14647461570416737,0,,0,0,normal,0.98,keep,none
2024-06-01 01:20:00,0,,-0.1481429399624269,0,,0,0,normal,0.98,keep,none
2024-06-01 01:30:00,0,,-0.16528620705192615,0,,0,0,normal,0.98,keep,none
2024-06-01 01:40:00,0,,-0.16016470868344013,0,,0,0,normal,0.98,keep,none
2024-06-01 01:50:00,0,,-0.1578938993112125,0,,0,0,normal,0.98,keep,none
2024-06-01 02:00:00,0,,-0.16429993501550305,0,,0,0,normal,0.98,keep,none
2024-06-01 02:10:00,0,,-0.1309166095608194,0,,0,0,normal,0.98,keep,none
2024-06-01 02:20:00,0,,-0.14801255519224926,0,,0,0,normal,0.98,keep,none
2024-06-01 02:30:00,0,,-0.16058025217233685,0,,0,0,normal,0.98,keep,none
2024-06-01 02:40:00,0,,-0.13687844157934087,0,,0,0,normal,0.98,keep,none
2024-06-01 02:50:00,0,,-0.16417856069001163,0,,0,0,normal,0.98,keep,none
2024-06-01 03:00:00,0,,-0.1636509078488193,0,,0,0,normal,0.98,keep,none
2024-06-01 03:10:00,0,,-0.16939331261865576,0,,0,0,normal,0.98,keep,none
2024-06-01 03:20:00,0,,-0.16944622943381477,0,,0,0,normal,0.98,keep,none
2024-06-01 03:30:00,0,,-0.16610462101108953,0,,0,0,normal,0.98,keep,none
2024-06-01 03:40:00,0,,-0.14426183902608197,0,,0,0,normal,0.98,keep,none
2024-06-01 03:50:00,0,,-0.16282119099455028,0,,0,0,normal,0.98,keep,none
2024-06-01 04:00:00,0,,-0.1684736563188996,0,,0,0,normal,0.98,keep,none
2024-06-01 04:10:00,0,,-0.16701418696818449,0,,0,0,normal,0.98,keep,none
2024-06-01 04:20:00,0,,-0.17309873650246416,0,,0,0,normal,0.98,keep,none
2024-06-01 04:30:00,0,,-0.1708644130157097,0,,0,0,normal,0.98,keep,none
2024-06-01 04:40:00,0,,-0.1524891193219441,0,,0,0,normal,0.98,keep,none
2024-06-01 04:50:00,0,,-0.16421724969565704,0,,0,0,normal,0.98,keep,none
2024-06-01 05:00:00,0,,-0.16362946733170086,0,,0,0,normal,0.98,keep,none
2024-06-01 05:10:00,0,,-0.17877327646732638,0,,0,0,normal,0.98,keep,none
2024-06-01 05:20:00,0,,-0.15842769685219976,0,,0,0,normal,0.98,keep,none
2024-06-01 05:30:00,0,,-0.15811608906607322,0,,0,0,normal,0.98,keep,none
2024-06-01 05:40:00,0,,-0.14334633146001924,0,,0,0,normal,0.98,keep,none
2024-06-01 05:50:00,0,,-0.16596922711632622,0,,0,0,normal,0.98,keep,none
2024-06-01 06:00:00,0,,-0.17741182693247892,0,,0,0,normal,0.98,keep,none
2024-06-01 06:10:00,1,spurious,-0.13192967964210278,0,,0,1,spurious,0.86,correct,rule
2024-06-01 06:20:00,0,,-0.16330259830720228,0,,0,0,normal,0.98,keep,none
2024-06-01 06:30:00,0,,-0.1672662079410303,0,,0,0,normal,0.98,keep,none
2024-06-01 06:40:00,0,,-0.16351779720575388,0,,0,0,normal,0.98,keep,none
2024-06-01 06:50:00,0,,-0.15943831516011608,0,,0,0,normal,0.98,keep,none
2024-06-01 07:00:00,0,,-0.1566390962246022,0,,0,0,normal,0.98,keep,none
2024-06-01 07:10:00,0,,-0.13134120045477476,0,,0,0,normal,0.98,keep,none
2024-06-01 07:20:00,0,,-0.15732139304127485,0,,0,0,normal,0.98,keep,none
2024-06-01 07:30:00,0,,-0.1635353763091365,0,,0,0,normal,0.98,keep,none
2024-06-01 07:40:00,0,,-0.16334309719519308,0,,0,0,normal,0.98,keep,none
2024-06-01 07:50:00,0,,-0.17098243585180406,0,,0,0,normal,0.98,keep,none
2024-06-01 08:00:00,0,,-0.141324861977087,0,,0,0,normal,0.98,keep,none
2024-06-01 08:10:00,0,,-0.16865538185304052,0,,0,0,normal,0.98,keep,none
2024-06-01 08:20:00,0,,-0.1633469174355271,0,,0,0,normal,0.98,keep,none
2024-06-01 08:30:00,0,,-0.1477133193713671,0,,0,0,normal,0.98,keep,none
2024-06-01 08:40:00,0,,-0.1608365265145501,0,,0,0,normal,0.98,keep,none
